OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
000 Hele landet;IALT I alt;F Fraskilt;2008K1 2008K1;428864
000 Hele landet;IALT I alt;F Fraskilt;2008K2 2008K2;431550
000 Hele landet;IALT I alt;F Fraskilt;2008K3 2008K3;432713
000 Hele landet;IALT I alt;F Fraskilt;2008K4 2008K4;432156
000 Hele landet;IALT I alt;F Fraskilt;2009K1 2009K1;434233
000 Hele landet;IALT I alt;F Fraskilt;2009K2 2009K2;437466
000 Hele landet;IALT I alt;F Fraskilt;2009K3 2009K3;439378
000 Hele landet;IALT I alt;F Fraskilt;2009K4 2009K4;439428
000 Hele landet;IALT I alt;F Fraskilt;2010K1 2010K1;441913
000 Hele landet;IALT I alt;F Fraskilt;2010K2 2010K2;444765
000 Hele landet;IALT I alt;F Fraskilt;2010K3 2010K3;446333
000 Hele landet;IALT I alt;F Fraskilt;2010K4 2010K4;447258
000 Hele landet;IALT I alt;F Fraskilt;2011K1 2011K1;449609
000 Hele landet;IALT I alt;F Fraskilt;2011K2 2011K2;453640
000 Hele landet;IALT I alt;F Fraskilt;2011K3 2011K3;455105
000 Hele landet;IALT I alt;F Fraskilt;2011K4 2011K4;455846
000 Hele landet;IALT I alt;F Fraskilt;2012K1 2012K1;458430
000 Hele landet;IALT I alt;F Fraskilt;2012K2 2012K2;462738
000 Hele landet;IALT I alt;F Fraskilt;2012K3 2012K3;465210
000 Hele landet;IALT I alt;F Fraskilt;2012K4 2012K4;466356
000 Hele landet;IALT I alt;F Fraskilt;2013K1 2013K1;468891
000 Hele landet;IALT I alt;F Fraskilt;2013K2 2013K2;473292
000 Hele landet;IALT I alt;F Fraskilt;2013K3 2013K3;476507
000 Hele landet;IALT I alt;F Fraskilt;2013K4 2013K4;477056
000 Hele landet;IALT I alt;F Fraskilt;2014K1 2014K1;486336
000 Hele landet;IALT I alt;F Fraskilt;2014K2 2014K2;492909
000 Hele landet;IALT I alt;F Fraskilt;2014K3 2014K3;497069
000 Hele landet;IALT I alt;F Fraskilt;2014K4 2014K4;500795
000 Hele landet;IALT I alt;F Fraskilt;2015K1 2015K1;504505
000 Hele landet;IALT I alt;F Fraskilt;2015K2 2015K2;506621
000 Hele landet;IALT I alt;F Fraskilt;2015K3 2015K3;509922
000 Hele landet;IALT I alt;F Fraskilt;2015K4 2015K4;513060
000 Hele landet;IALT I alt;F Fraskilt;2016K1 2016K1;516864
000 Hele landet;IALT I alt;F Fraskilt;2016K2 2016K2;520775
000 Hele landet;IALT I alt;F Fraskilt;2016K3 2016K3;525180
000 Hele landet;IALT I alt;F Fraskilt;2016K4 2016K4;526340
000 Hele landet;IALT I alt;F Fraskilt;2017K1 2017K1;529457
000 Hele landet;IALT I alt;F Fraskilt;2017K2 2017K2;533905
000 Hele landet;IALT I alt;F Fraskilt;2017K3 2017K3;534656
000 Hele landet;IALT I alt;F Fraskilt;2017K4 2017K4;535372
000 Hele landet;IALT I alt;F Fraskilt;2018K1 2018K1;537834
000 Hele landet;IALT I alt;F Fraskilt;2018K2 2018K2;541010
000 Hele landet;IALT I alt;F Fraskilt;2018K3 2018K3;541999
000 Hele landet;IALT I alt;F Fraskilt;2018K4 2018K4;542280
000 Hele landet;IALT I alt;F Fraskilt;2019K1 2019K1;545085
000 Hele landet;IALT I alt;F Fraskilt;2019K2 2019K2;545597
000 Hele landet;IALT I alt;F Fraskilt;2019K3 2019K3;544731
000 Hele landet;IALT I alt;F Fraskilt;2019K4 2019K4;543846
000 Hele landet;IALT I alt;F Fraskilt;2020K1 2020K1;544588
000 Hele landet;IALT I alt;F Fraskilt;2020K2 2020K2;548229
000 Hele landet;IALT I alt;F Fraskilt;2020K3 2020K3;550715
